iteration,data_size,real_time_sec,user_time_sec,sys_time_sec,status,file_size_bytes,method
1,100,6.42000,7.15000,0.72000,SUCCESS,1922159,quartoR
1,500,5.57000,7.14000,0.52000,SUCCESS,1945176,quartoR
1,1K,5.59000,7.05000,0.53000,SUCCESS,1971090,quartoR
1,2K,5.54000,6.95000,0.52000,SUCCESS,2022925,quartoR
1,4K,5.88000,7.32000,0.55000,SUCCESS,2126596,quartoR
1,8K,5.91000,7.36000,0.56000,SUCCESS,2333967,quartoR
1,16K,6.30000,7.76000,0.60000,SUCCESS,2748644,quartoR
1,32K,7.03000,8.61000,0.65000,SUCCESS,3578155,quartoR
1,64K,8.41000,9.74000,0.77000,SUCCESS,5236991,quartoR
1,128K,12.22000,13.11000,1.17000,SUCCESS,8554689,quartoR
1,256K,21.73000,20.89000,2.37000,SUCCESS,15190190,quartoR
1,485K,42.05000,38.42000,4.76000,SUCCESS,27089856,quartoR
2,100,5.53000,6.91000,0.52000,SUCCESS,1922159,quartoR
2,500,5.54000,7.04000,0.50000,SUCCESS,1945176,quartoR
2,1K,5.49000,7.08000,0.47000,SUCCESS,1971090,quartoR
2,2K,5.58000,7.12000,0.47000,SUCCESS,2022925,quartoR
2,4K,5.59000,7.11000,0.47000,SUCCESS,2126596,quartoR
2,8K,5.85000,7.50000,0.49000,SUCCESS,2333967,quartoR
2,16K,6.20000,7.66000,0.54000,SUCCESS,2748644,quartoR
2,32K,6.89000,8.40000,0.56000,SUCCESS,3578155,quartoR
2,64K,8.31000,9.77000,0.69000,SUCCESS,5236991,quartoR
2,128K,12.01000,12.84000,1.05000,SUCCESS,8554689,quartoR
2,256K,21.42000,21.11000,2.15000,SUCCESS,15190190,quartoR
2,485K,41.72000,38.61000,4.34000,SUCCESS,27089856,quartoR
3,100,5.63000,7.04000,0.52000,SUCCESS,1922159,quartoR
3,500,5.50000,6.97000,0.49000,SUCCESS,1945176,quartoR
3,1K,5.53000,7.07000,0.51000,SUCCESS,1971090,quartoR
3,2K,5.76000,7.35000,0.51000,SUCCESS,2022925,quartoR
3,4K,5.65000,7.17000,0.50000,SUCCESS,2126596,quartoR
3,8K,5.86000,7.40000,0.52000,SUCCESS,2333967,quartoR
3,16K,6.24000,7.79000,0.56000,SUCCESS,2748644,quartoR
3,32K,7.10000,8.57000,0.64000,SUCCESS,3578155,quartoR
3,64K,8.42000,9.69000,0.74000,SUCCESS,5236991,quartoR
3,128K,11.85000,12.88000,0.98000,SUCCESS,8554689,quartoR
3,256K,20.78000,20.98000,1.87000,SUCCESS,15190190,quartoR
3,485K,40.75000,38.58000,3.82000,SUCCESS,27089856,quartoR
4,100,5.61000,6.99000,0.53000,SUCCESS,1922159,quartoR
4,500,5.71000,7.36000,0.53000,SUCCESS,1945176,quartoR
4,1K,5.64000,7.20000,0.54000,SUCCESS,1971090,quartoR
4,2K,5.58000,7.05000,0.50000,SUCCESS,2022925,quartoR
4,4K,5.72000,7.29000,0.52000,SUCCESS,2126596,quartoR
4,8K,6.13000,7.76000,0.55000,SUCCESS,2333967,quartoR
4,16K,6.30000,7.77000,0.59000,SUCCESS,2748644,quartoR
4,32K,7.04000,8.58000,0.64000,SUCCESS,3578155,quartoR
4,64K,8.28000,9.72000,0.74000,SUCCESS,5236991,quartoR
4,128K,12.07000,13.06000,1.02000,SUCCESS,8554689,quartoR
4,256K,20.86000,20.84000,1.98000,SUCCESS,15190190,quartoR
4,485K,41.73000,38.76000,4.31000,SUCCESS,27089856,quartoR
5,100,5.47000,6.80000,0.50000,SUCCESS,1922159,quartoR
5,500,5.42000,6.94000,0.48000,SUCCESS,1945176,quartoR
5,1K,5.49000,6.96000,0.49000,SUCCESS,1971090,quartoR
5,2K,5.49000,7.01000,0.50000,SUCCESS,2022925,quartoR
5,4K,5.66000,7.20000,0.50000,SUCCESS,2126596,quartoR
5,8K,5.75000,7.20000,0.52000,SUCCESS,2333967,quartoR
5,16K,6.14000,7.63000,0.55000,SUCCESS,2748644,quartoR
5,32K,6.89000,8.40000,0.59000,SUCCESS,3578155,quartoR
5,64K,8.23000,9.63000,0.69000,SUCCESS,5236991,quartoR
5,128K,11.66000,12.81000,0.94000,SUCCESS,8554689,quartoR
5,256K,20.76000,20.90000,1.80000,SUCCESS,15190190,quartoR
5,485K,40.86000,38.37000,3.91000,SUCCESS,27089856,quartoR
1,100,0.12000,0.04000,0.02000,SUCCESS,700028,jinja2
1,500,0.04000,0.03000,0.00000,SUCCESS,723059,jinja2
1,1K,0.04000,0.03000,0.00000,SUCCESS,748987,jinja2
1,2K,0.05000,0.04000,0.00000,SUCCESS,800850,jinja2
1,4K,0.05000,0.04000,0.01000,SUCCESS,904577,jinja2
1,8K,0.05000,0.04000,0.01000,SUCCESS,1112060,jinja2
1,16K,0.06000,0.04000,0.01000,SUCCESS,1526954,jinja2
1,32K,0.06000,0.05000,0.01000,SUCCESS,2356913,jinja2
1,64K,0.07000,0.06000,0.01000,SUCCESS,4016652,jinja2
1,128K,0.10000,0.08000,0.01000,SUCCESS,7336149,jinja2
1,256K,0.16000,0.13000,0.02000,SUCCESS,13975248,jinja2
1,485K,0.26000,0.21000,0.04000,SUCCESS,25881368,jinja2
2,100,0.10000,0.04000,0.02000,SUCCESS,700028,jinja2
2,500,0.05000,0.03000,0.00000,SUCCESS,723059,jinja2
2,1K,0.05000,0.03000,0.01000,SUCCESS,748987,jinja2
2,2K,0.05000,0.03000,0.00000,SUCCESS,800850,jinja2
2,4K,0.05000,0.04000,0.00000,SUCCESS,904577,jinja2
2,8K,0.05000,0.04000,0.00000,SUCCESS,1112060,jinja2
